,browser,operating_sys,from_url,to_url,city,latitude,longitude,time_zones,time_in,time_out
0,Chrome,Windows,www.facebook.com,www.ncbi.nlm.nih.gov,Danvers,42.576698,-70.954903,America/New_York,2012-04-01 19:03:50,2012-04-01 19:03:57
1,Other,Other,www.AwareMap.com,www.monroecounty.gov,Provo,40.218102,-111.613297,America/Denver,2012-03-16 18:40:49,Unknown
2,IE,Windows,t.co,boxer.senate.gov,Washington,38.9007,-77.043098,America/New_York,2012-04-02 22:50:30,2012-04-02 22:50:35
3,Safari,Mac OS X,Unknown,apod.nasa.gov,Braz,-23.549999,-46.616699,America/Sao_Paulo,2012-04-04 02:37:10,2012-04-04 02:37:24
4,Chrome,Windows,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,42.286499,-71.714699,America/New_York,2012-04-05 06:23:50,2012-04-05 06:23:59
5,Chrome,Windows,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,42.286499,-71.714699,America/New_York,2012-04-06 10:10:30,2012-04-06 10:10:48
6,Chrome,Windows,plus.url.google.com,www.nasa.gov,Luban,51.116699,15.2833,Europe/Warsaw,2012-04-07 13:57:10,2012-04-07 13:57:20
7,Firefox,Windows,www.facebook.com,www.nasa.gov,Unknown,Unknown,Unknown,unknown,2012-04-09 21:30:36,Unknown
8,Opera,Ubuntu,www.facebook.com,www.nasa.gov,Unknown,Unknown,Unknown,unknown,2012-04-08 17:43:50,2012-04-08 17:44:02
9,Chrome,Windows,t.co,apod.nasa.gov,Unknown,Unknown,Unknown,unknown,2012-04-09 21:30:30,2012-04-09 21:30:40
10,Firefox,Windows,Unknown,www.nysdot.gov,Seattle,47.5951,-122.332603,America/Los_Angeles,2012-04-11 01:17:10,2012-04-11 01:17:20
11,Firefox,Mac OS X,t.co,oversight.house.gov,Washington,38.937599,-77.092796,America/New_York,2012-04-12 05:04:00,2012-04-12 05:04:03
